hospital_id,hospital_name,hospital_type,hospital_region,ehr_vendor,n,pct_atezo,median_age,pct_ecog1,pct_mvi,pct_afp_ge400,os_event_rate
H01,Northshore University,Academic,Asia excluding Japan,Alpha,320,65.9375,64.0,38.125,38.75,35.625,27.187499999999996
H06,Harbor City Medical,Academic,Rest of World,Gamma,210,64.76190476190476,64.0,39.523809523809526,37.61904761904762,39.04761904761905,29.523809523809526
H03,Metropolitan Cancer Ctr,Academic,Asia excluding Japan,Gamma,240,61.25000000000001,64.0,40.0,34.166666666666664,39.58333333333333,30.833333333333336
H08,Eastgate University,Academic,Rest of World,Beta,155,54.19354838709678,65.0,39.35483870967742,40.0,30.32258064516129,30.967741935483872
H05,Lakeside Regional,Regional,Asia excluding Japan,Beta,180,47.22222222222222,65.0,39.44444444444444,40.55555555555556,35.55555555555556,30.0
H09,Valley District,Community,Asia excluding Japan,Gamma,110,46.36363636363636,62.0,34.54545454545455,38.18181818181819,40.0,32.72727272727273
H02,Riverside General,Community,Rest of World,Beta,285,44.91228070175438,66.0,38.59649122807017,35.78947368421053,42.80701754385965,36.140350877192986
H10,Summit General,Regional,Rest of World,Alpha,130,44.61538461538462,61.0,45.38461538461539,38.46153846153847,35.38461538461539,33.07692307692307
H04,St Aldys Community,Community,Rest of World,Alpha,95,37.89473684210527,64.0,37.89473684210527,33.68421052631579,36.84210526315789,36.84210526315789
H07,Pinecrest Community,Community,Asia excluding Japan,Alpha,75,34.66666666666667,63.0,42.66666666666667,25.333333333333336,38.666666666666664,30.666666666666664
