covariate,smd_before,smd_after
age,-0.21015706944169757,0.01921061420847576
ecog_ps,-0.1573912611050058,0.023042344890758248
child_pugh_score,-0.00490376173268019,-0.0030696398328919432
afp_ge_400,-0.228324032827622,0.017361051608636813
macrovascular_invasion,-0.22475304399036677,0.04365230957894003
extrahepatic_spread,-0.2043564283764381,0.037909888056202996
bclc_C,-0.0404994539198771,0.01900157819107939
albi_ge2,-0.17755775628261142,0.0342067369495425
varices_at_baseline,-0.17603731441630346,0.012472825979591491
male,0.03761429508647704,0.025451745304953838
asia,0.11465067195474002,-0.002830928039278394
