covariate,mean_treat,mean_control,smd
age,62.811850311850314,65.16467780429595,-0.21015706944169757
ecog_ps,0.3575883575883576,0.4343675417661098,-0.1573912611050058
child_pugh_score,5.3056133056133055,5.307875894988067,-0.00490376173268019
afp_ge_400,0.32536382536382535,0.43556085918854415,-0.228324032827622
macrovascular_invasion,0.3191268191268191,0.42720763723150357,-0.22475304399036677
extrahepatic_spread,0.5519750519750519,0.6515513126491647,-0.2043564283764381
bclc_C,0.8274428274428275,0.8424821002386634,-0.0404994539198771
albi_ge2,0.498960498960499,0.5871121718377088,-0.17755775628261142
varices_at_baseline,0.2442827442827443,0.3233890214797136,-0.17603731441630346
male,0.8201663201663202,0.8054892601431981,0.03761429508647704
asia,0.5405405405405406,0.48329355608591884,0.11465067195474002
